Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Time Stamp
LE,-0.4180125,0.9206152,-0.203577,0.8690687,-0.3303227,-0.204354,0.306343,0.3333333
LE,-0.4180125,0.9206152,-0.203577,0.8690687,-0.3303227,-0.204354,0.306343,0.3333333
LE,-0.4179052,0.920132,-0.2069529,0.8700528,-0.3289869,-0.2030443,0.3058574,0.3535915
LE,-0.4179052,0.920132,-0.2069529,0.8700528,-0.3289869,-0.2030443,0.3058574,0.3535915
LE,-0.4177905,0.9194313,-0.2101753,0.871092,-0.3278369,-0.2011544,0.3053829,0.3602852
LE,-0.4177905,0.9194313,-0.2101753,0.871092,-0.3278369,-0.2011544,0.3053829,0.3602852
LE,-0.4178156,0.9189494,-0.213356,0.8718832,-0.3268115,-0.2000025,0.3049802,0.3709957
LE,-0.4178156,0.9189494,-0.213356,0.8718832,-0.3268115,-0.2000025,0.3049802,0.3709957
LE,-0.4178444,0.9183919,-0.2164636,0.8726232,-0.325831,-0.1986488,0.3047976,0.3784498
LE,-0.4178444,0.9183919,-0.2164636,0.8726232,-0.325831,-0.1986488,0.3047976,0.3784498
LE,-0.4180948,0.918133,-0.2194324,0.873292,-0.3249325,-0.1976678,0.3044791,0.3897722
LE,-0.4180948,0.918133,-0.2194324,0.873292,-0.3249325,-0.1976678,0.3044791,0.3897722
LE,-0.4184028,0.9178329,-0.2221866,0.8735732,-0.3245445,-0.1973807,0.3042723,0.4006576
LE,-0.4184028,0.9178329,-0.2221866,0.8735732,-0.3245445,-0.1973807,0.3042723,0.4006576
LE,-0.4190255,0.9176511,-0.2248324,0.87343,-0.3244884,-0.1978462,0.3044408,0.4116792
LE,-0.4190255,0.9176511,-0.2248324,0.87343,-0.3244884,-0.1978462,0.3044408,0.4116792
LE,-0.4195322,0.9174436,-0.2275787,0.8733147,-0.3244956,-0.1982886,0.304476,0.4227558
LE,-0.4195322,0.9174436,-0.2275787,0.8733147,-0.3244956,-0.1982886,0.304476,0.4227558
LE,-0.4202911,0.9173323,-0.2300242,0.872801,-0.3248788,-0.199776,0.3045681,0.4338353
LE,-0.4202911,0.9173323,-0.2300242,0.872801,-0.3248788,-0.199776,0.3045681,0.4338353
LE,-0.421137,0.9173779,-0.2325273,0.8723405,-0.3254858,-0.2009432,0.3044716,0.4449989
LE,-0.421137,0.9173779,-0.2325273,0.8723405,-0.3254858,-0.2009432,0.3044716,0.4449989
LE,-0.4287506,0.9184945,-0.2571893,0.8660095,-0.3349271,-0.2148407,0.3028117,0.5657446
LE,-0.4287506,0.9184945,-0.2571893,0.8660095,-0.3349271,-0.2148407,0.3028117,0.5657446
LE,-0.4287506,0.9184945,-0.2571893,0.8660095,-0.3349271,-0.2148407,0.3028117,0.5702792
LE,-0.4287506,0.9184945,-0.2571893,0.8660095,-0.3349271,-0.2148407,0.3028117,0.5702792
LE,-0.428882,0.9187731,-0.2592213,0.8658922,-0.3353306,-0.215691,0.3020953,0.5788681
LE,-0.428882,0.9187731,-0.2592213,0.8658922,-0.3353306,-0.215691,0.3020953,0.5788681
LE,-0.4289387,0.9191287,-0.2611492,0.8658358,-0.3357753,-0.2165958,0.301114,0.5922872
LE,-0.4289387,0.9191287,-0.2611492,0.8658358,-0.3357753,-0.2165958,0.301114,0.5922872
LE,-0.428768,0.9195251,-0.2630649,0.8655849,-0.3364158,-0.2171136,0.3007475,0.600414
LE,-0.428768,0.9195251,-0.2630649,0.8655849,-0.3364158,-0.2171136,0.3007475,0.600414
LE,-0.4285568,0.9199889,-0.264841,0.8654844,-0.3370687,-0.2172508,0.3002059,0.6115684
LE,-0.4285568,0.9199889,-0.264841,0.8654844,-0.3370687,-0.2172508,0.3002059,0.6115684
LE,-0.4284502,0.9203336,-0.2666776,0.8654863,-0.3377296,-0.2173524,0.2993832,0.6227348
LE,-0.4284502,0.9203336,-0.2666776,0.8654863,-0.3377296,-0.2173524,0.2993832,0.6227348
LE,-0.4281427,0.9209123,-0.2682539,0.8658431,-0.3379968,-0.2169238,0.2983588,0.6337968
LE,-0.4281427,0.9209123,-0.2682539,0.8658431,-0.3379968,-0.2169238,0.2983588,0.6337968
