Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Time Stamp
LH,-0.3433793,1.043159,0.3105989,-0.1606398,-0.07983939,0.01928479,0.9835896,0.3333333
LH,-0.3433793,1.043159,0.3105989,-0.1606398,-0.07983939,0.01928479,0.9835896,0.3333333
LH,-0.3452002,1.044356,0.3065164,-0.162517,-0.08214998,0.02095631,0.9830567,0.3535915
LH,-0.3452002,1.044356,0.3065164,-0.162517,-0.08214998,0.02095631,0.9830567,0.3535915
LH,-0.3470705,1.045109,0.3023176,-0.1643586,-0.08315614,0.02329209,0.9826133,0.3602852
LH,-0.3470705,1.045109,0.3023176,-0.1643586,-0.08315614,0.02329209,0.9826133,0.3602852
LH,-0.3488258,1.045717,0.2983811,-0.1651096,-0.0841184,0.02533422,0.9823549,0.3709957
LH,-0.3488258,1.045717,0.2983811,-0.1651096,-0.0841184,0.02533422,0.9823549,0.3709957
LH,-0.3506151,1.046223,0.2945232,-0.1654065,-0.08556389,0.02763323,0.9821181,0.3784498
LH,-0.3506151,1.046223,0.2945232,-0.1654065,-0.08556389,0.02763323,0.9821181,0.3784498
LH,-0.352402,1.046683,0.2908961,-0.1645367,-0.08808047,0.02913008,0.9819984,0.3897722
LH,-0.352402,1.046683,0.2908961,-0.1645367,-0.08808047,0.02913008,0.9819984,0.3897722
LH,-0.3541337,1.047148,0.2872336,-0.1636272,-0.09036139,0.03074621,0.9818939,0.4006576
LH,-0.3541337,1.047148,0.2872336,-0.1636272,-0.09036139,0.03074621,0.9818939,0.4006576
LH,-0.3557845,1.047702,0.28352,-0.1633939,-0.09182853,0.03307498,0.981721,0.4116792
LH,-0.3557845,1.047702,0.28352,-0.1633939,-0.09182853,0.03307498,0.981721,0.4116792
LH,-0.3573357,1.048458,0.2797571,-0.1639888,-0.09222224,0.03577827,0.98149,0.4227558
LH,-0.3573357,1.048458,0.2797571,-0.1639888,-0.09222224,0.03577827,0.98149,0.4227558
LH,-0.3588511,1.049357,0.2757936,-0.1654274,-0.09281849,0.0378227,0.9811157,0.4338353
LH,-0.3588511,1.049357,0.2757936,-0.1654274,-0.09281849,0.0378227,0.9811157,0.4338353
LH,-0.3597978,1.050786,0.2716419,-0.1702398,-0.091167,0.03861978,0.980416,0.4449989
LH,-0.3597978,1.050786,0.2716419,-0.1702398,-0.091167,0.03861978,0.980416,0.4449989
LH,-0.3434193,1.062168,0.2406912,-0.1878726,-0.08058037,0.0145837,0.9787737,0.5657446
LH,-0.3434193,1.062168,0.2406912,-0.1878726,-0.08058037,0.0145837,0.9787737,0.5657446
LH,-0.3434193,1.062168,0.2406912,-0.1878726,-0.08058037,0.0145837,0.9787737,0.5702792
LH,-0.3434193,1.062168,0.2406912,-0.1878726,-0.08058037,0.0145837,0.9787737,0.5702792
LH,-0.347757,1.053531,0.2494982,-0.185198,-0.0794403,0.01611328,0.9793525,0.5788681
LH,-0.347757,1.053531,0.2494982,-0.185198,-0.0794403,0.01611328,0.9793525,0.5788681
LH,-0.348467,1.05307,0.2479029,-0.1848322,-0.0773636,0.0202427,0.9795112,0.5922872
LH,-0.348467,1.05307,0.2479029,-0.1848322,-0.0773636,0.0202427,0.9795112,0.5922872
LH,-0.3489095,1.052497,0.2464051,-0.1836841,-0.07416372,0.02215366,0.9799332,0.600414
LH,-0.3489095,1.052497,0.2464051,-0.1836841,-0.07416372,0.02215366,0.9799332,0.600414
LH,-0.3494102,1.051962,0.2448065,-0.1823467,-0.07224975,0.0224868,0.9803184,0.6115684
LH,-0.3494102,1.051962,0.2448065,-0.1823467,-0.07224975,0.0224868,0.9803184,0.6115684
LH,-0.350203,1.050966,0.2435731,-0.1803265,-0.07127433,0.02314738,0.9807479,0.6227348
LH,-0.350203,1.050966,0.2435731,-0.1803265,-0.07127433,0.02314738,0.9807479,0.6227348
LH,-0.3508501,1.050215,0.2421914,-0.1788215,-0.07086347,0.02225299,0.9810739,0.6337968
LH,-0.3508501,1.050215,0.2421914,-0.1788215,-0.07086347,0.02225299,0.9810739,0.6337968
LH,-0.3516108,1.049182,0.2412241,-0.1755411,-0.07141708,0.02035978,0.9816672,0.6448995
LH,-0.3516108,1.049182,0.2412241,-0.1755411,-0.07141708,0.02035978,0.9816672,0.6448995
LH,-0.3422903,1.053345,0.2440256,-0.172037,-0.0708031,0.0173099,0.9823902,0.6559669
LH,-0.3422903,1.053345,0.2440256,-0.172037,-0.0708031,0.0173099,0.9823902,0.6559669
LH,-0.3430306,1.052687,0.2437146,-0.1679592,-0.07273701,0.02180006,0.9828651,0.6671116
LH,-0.3430306,1.052687,0.2437146,-0.1679592,-0.07273701,0.02180006,0.9828651,0.6671116
LH,-0.3434974,1.052517,0.2428913,-0.166237,-0.07329426,0.02558123,0.9830254,0.678126
LH,-0.3434974,1.052517,0.2428913,-0.166237,-0.07329426,0.02558123,0.9830254,0.678126
