Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Time Stamp
RE,0.3847816,1.01595,-0.1405324,0.1408627,0.8911187,0.01307806,0.4311544,0.3333333
RE,0.3847816,1.01595,-0.1405324,0.1408627,0.8911187,0.01307806,0.4311544,0.3333333
RE,0.3842498,1.015202,-0.14672,0.1418362,0.8922915,0.01221191,0.4284264,0.3535915
RE,0.3842498,1.015202,-0.14672,0.1418362,0.8922915,0.01221191,0.4284264,0.3535915
RE,0.3834471,1.014128,-0.1526111,0.1428155,0.8934758,0.01122118,0.4256511,0.3602852
RE,0.3834471,1.014128,-0.1526111,0.1428155,0.8934758,0.01122118,0.4256511,0.3602852
RE,0.382827,1.012958,-0.1582455,0.14349,0.8945411,0.01080098,0.4231905,0.3709957
RE,0.382827,1.012958,-0.1582455,0.14349,0.8945411,0.01080098,0.4231905,0.3709957
RE,0.3823236,1.012083,-0.1637457,0.144184,0.8956551,0.01013919,0.420607,0.3784498
RE,0.3823236,1.012083,-0.1637457,0.144184,0.8956551,0.01013919,0.420607,0.3784498
RE,0.3818874,1.011361,-0.1691259,0.1444682,0.8967938,0.009886188,0.4180813,0.3897722
RE,0.3818874,1.011361,-0.1691259,0.1444682,0.8967938,0.009886188,0.4180813,0.3897722
RE,0.3815238,1.010994,-0.1741871,0.1446899,0.8980473,0.01045965,0.4152909,0.4006576
RE,0.3815238,1.010994,-0.1741871,0.1446899,0.8980473,0.01045965,0.4152909,0.4006576
RE,0.3813485,1.010191,-0.1793222,0.1450488,0.8992298,0.01104112,0.4125832,0.4116792
RE,0.3813485,1.010191,-0.1793222,0.1450488,0.8992298,0.01104112,0.4125832,0.4116792
RE,0.3812722,1.009899,-0.1846103,0.1453997,0.9003313,0.01097751,0.4100513,0.4227558
RE,0.3812722,1.009899,-0.1846103,0.1453997,0.9003313,0.01097751,0.4100513,0.4227558
RE,0.3811988,1.009361,-0.1894583,0.1452713,0.9014612,0.01084916,0.4076104,0.4338353
RE,0.3811988,1.009361,-0.1894583,0.1452713,0.9014612,0.01084916,0.4076104,0.4338353
RE,0.3815757,1.009048,-0.1938314,0.1451079,0.9025169,0.01057089,0.4053335,0.4449989
RE,0.3815757,1.009048,-0.1938314,0.1451079,0.9025169,0.01057089,0.4053335,0.4449989
RE,0.3896633,1.008137,-0.2294136,0.1332881,0.9060541,0.02146495,0.4010482,0.5657446
RE,0.3896633,1.008137,-0.2294136,0.1332881,0.9060541,0.02146495,0.4010482,0.5657446
RE,0.3896633,1.008137,-0.2294136,0.1332881,0.9060541,0.02146495,0.4010482,0.5702792
RE,0.3896633,1.008137,-0.2294136,0.1332881,0.9060541,0.02146495,0.4010482,0.5702792
RE,0.3903151,1.007628,-0.2315648,0.132886,0.9062639,0.02184002,0.400687,0.5788681
RE,0.3903151,1.007628,-0.2315648,0.132886,0.9062639,0.02184002,0.400687,0.5788681
RE,0.3907884,1.007162,-0.2336145,0.1326123,0.9063482,0.02196825,0.40058,0.5922872
RE,0.3907884,1.007162,-0.2336145,0.1326123,0.9063482,0.02196825,0.40058,0.5922872
RE,0.391427,1.006582,-0.2355233,0.1327386,0.906453,0.02177031,0.4003117,0.600414
RE,0.391427,1.006582,-0.2355233,0.1327386,0.906453,0.02177031,0.4003117,0.600414
RE,0.3919327,1.005937,-0.2371679,0.1329059,0.9066202,0.02074585,0.3999319,0.6115684
RE,0.3919327,1.005937,-0.2371679,0.1329059,0.9066202,0.02074585,0.3999319,0.6115684
RE,0.3923908,1.005376,-0.2389269,0.1328546,0.906565,0.02049364,0.400087,0.6227348
RE,0.3923908,1.005376,-0.2389269,0.1328546,0.906565,0.02049364,0.400087,0.6227348
RE,0.3928328,1.00465,-0.240427,0.1327075,0.9064481,0.02005857,0.4004226,0.6337968
RE,0.3928328,1.00465,-0.240427,0.1327075,0.9064481,0.02005857,0.4004226,0.6337968
RE,0.3933405,1.004005,-0.2417764,0.1328789,0.906435,0.01969384,0.4004135,0.6448995
RE,0.3933405,1.004005,-0.2417764,0.1328789,0.906435,0.01969384,0.4004135,0.6448995
RE,0.3937917,1.0035,-0.2429646,0.1332116,0.9063159,0.01993674,0.4005604,0.6559669
RE,0.3937917,1.0035,-0.2429646,0.1332116,0.9063159,0.01993674,0.4005604,0.6559669
RE,0.3943144,1.002756,-0.2442158,0.13368,0.9061887,0.02025889,0.400676,0.6671116
RE,0.3943144,1.002756,-0.2442158,0.13368,0.9061887,0.02025889,0.400676,0.6671116
RE,0.3949025,1.001776,-0.2451914,0.134643,0.9059662,0.02019775,0.4008597,0.678126
RE,0.3949025,1.001776,-0.2451914,0.134643,0.9059662,0.02019775,0.4008597,0.678126
RE,0.3949218,1.001204,-0.2455705,0.1356331,0.9056228,0.02011532,0.4013058,0.6893077
RE,0.3949218,1.001204,-0.2455705,0.1356331,0.9056228,0.02011532,0.4013058,0.6893077
RE,0.3957477,1.000175,-0.2459915,0.1367958,0.9050983,0.01934766,0.4021315,0.7004349
RE,0.3957477,1.000175,-0.2459915,0.1367958,0.9050983,0.01934766,0.4021315,0.7004349
RE,0.3961239,0.9991943,-0.2462375,0.1377273,0.9047875,0.01892326,0.4025328,0.7115015
RE,0.3961239,0.9991943,-0.2462375,0.1377273,0.9047875,0.01892326,0.4025328,0.7115015
RE,0.3968222,0.9982094,-0.2465422,0.1387575,0.9045123,0.01874167,0.402806,0.7227632
RE,0.3968222,0.9982094,-0.2465422,0.1387575,0.9045123,0.01874167,0.402806,0.7227632
RE,0.3975312,0.9970998,-0.2465779,0.1398705,0.9042756,0.01876511,0.4029514,0.734333
RE,0.3975312,0.9970998,-0.2465779,0.1398705,0.9042756,0.01876511,0.4029514,0.734333
RE,0.3979918,0.996488,-0.2463555,0.1406931,0.9041859,0.01908869,0.4028511,0.7452551
RE,0.3979918,0.996488,-0.2463555,0.1406931,0.9041859,0.01908869,0.4028511,0.7452551
RE,0.3987497,0.9957572,-0.2463085,0.1414353,0.9037057,0.01933688,0.403656,0.7616839
RE,0.3987497,0.9957572,-0.2463085,0.1414353,0.9037057,0.01933688,0.403656,0.7616839
RE,0.399474,0.9949758,-0.2460362,0.1421826,0.903241,0.01966962,0.4044168,0.7669827
RE,0.399474,0.9949758,-0.2460362,0.1421826,0.903241,0.01966962,0.4044168,0.7669827
RE,0.4003111,0.9939303,-0.245488,0.1430921,0.9026914,0.01982732,0.4053144,0.7780669
RE,0.4003111,0.9939303,-0.245488,0.1430921,0.9026914,0.01982732,0.4053144,0.7780669
RE,0.4009937,0.9931002,-0.2444175,0.1440193,0.9022536,0.01991431,0.405956,0.7892017
RE,0.4009937,0.9931002,-0.2444175,0.1440193,0.9022536,0.01991431,0.405956,0.7892017
RE,0.4018967,0.9923375,-0.2435107,0.1451022,0.901777,0.01969763,0.4066393,0.8003035
RE,0.4018967,0.9923375,-0.2435107,0.1451022,0.901777,0.01969763,0.4066393,0.8003035
RE,0.4027822,0.9916011,-0.2422897,0.1462742,0.9013138,0.02024491,0.4072191,0.8114033
