Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Time Stamp
RH,0.2334001,1.073943,0.3620246,-0.1643852,-0.009152832,-0.02975362,0.9859049,0.3333333
RH,0.2334001,1.073943,0.3620246,-0.1643852,-0.009152832,-0.02975362,0.9859049,0.3333333
RH,0.2345947,1.073224,0.3580514,-0.1642795,-0.003484888,-0.0270239,0.9860374,0.3535915
RH,0.2345947,1.073224,0.3580514,-0.1642795,-0.003484888,-0.0270239,0.9860374,0.3535915
RH,0.2377173,1.072069,0.3508414,-0.1677958,-0.0003662109,-0.02545832,0.9854929,0.3602852
RH,0.2377173,1.072069,0.3508414,-0.1677958,-0.0003662109,-0.02545832,0.9854929,0.3602852
RH,0.2398397,1.072096,0.3455528,-0.1710092,0.001628621,-0.02436457,0.9849668,0.3709957
RH,0.2398397,1.072096,0.3455528,-0.1710092,0.001628621,-0.02436457,0.9849668,0.3709957
RH,0.2419257,1.071819,0.3394762,-0.1745151,0.003491296,-0.02365709,0.9843641,0.3784498
RH,0.2419257,1.071819,0.3394762,-0.1745151,0.003491296,-0.02365709,0.9843641,0.3784498
RH,0.2437186,1.072049,0.3343638,-0.1761704,0.005589967,-0.02278272,0.9840801,0.3897722
RH,0.2437186,1.072049,0.3343638,-0.1761704,0.005589967,-0.02278272,0.9840801,0.3897722
RH,0.2455319,1.07181,0.3292947,-0.1775617,0.008061263,-0.02254801,0.9838183,0.4006576
RH,0.2455319,1.07181,0.3292947,-0.1775617,0.008061263,-0.02254801,0.9838183,0.4006576
RH,0.2472316,1.071699,0.3248888,-0.1767017,0.009877895,-0.02438719,0.9839127,0.4116792
RH,0.2472316,1.071699,0.3248888,-0.1767017,0.009877895,-0.02438719,0.9839127,0.4116792
RH,0.2487448,1.071424,0.3201171,-0.1766736,0.01154517,-0.02603133,0.9838575,0.4227558
RH,0.2487448,1.071424,0.3201171,-0.1766736,0.01154517,-0.02603133,0.9838575,0.4227558
RH,0.2502285,1.07126,0.3157716,-0.1764043,0.01294866,-0.02769571,0.9838429,0.4338353
RH,0.2502285,1.07126,0.3157716,-0.1764043,0.01294866,-0.02769571,0.9838429,0.4338353
RH,0.2514831,1.070994,0.3116021,-0.1764531,0.01461585,-0.02822333,0.9837958,0.4449989
RH,0.2514831,1.070994,0.3116021,-0.1764531,0.01461585,-0.02822333,0.9837958,0.4449989
RH,0.2595865,1.067639,0.2759796,-0.1827051,0.01722965,-0.02196248,0.9827715,0.5657446
RH,0.2595865,1.067639,0.2759796,-0.1827051,0.01722965,-0.02196248,0.9827715,0.5657446
RH,0.2595865,1.067639,0.2759796,-0.1827051,0.01722965,-0.02196248,0.9827715,0.5702792
RH,0.2595865,1.067639,0.2759796,-0.1827051,0.01722965,-0.02196248,0.9827715,0.5702792
RH,0.2598823,1.066912,0.2737357,-0.1819167,0.01670714,-0.02121777,0.9829431,0.5788681
RH,0.2598823,1.066912,0.2737357,-0.1819167,0.01670714,-0.02121777,0.9829431,0.5788681
RH,0.2601542,1.066045,0.2719631,-0.180374,0.01663787,-0.02130083,0.9832267,0.5922872
RH,0.2601542,1.066045,0.2719631,-0.180374,0.01663787,-0.02130083,0.9832267,0.5922872
RH,0.2605914,1.064936,0.2700822,-0.1787977,0.01639791,-0.02244999,0.983493,0.600414
RH,0.2605914,1.064936,0.2700822,-0.1787977,0.01639791,-0.02244999,0.983493,0.600414
RH,0.260923,1.063776,0.2684771,-0.1772402,0.01579007,-0.02297647,0.9837727,0.6115684
RH,0.260923,1.063776,0.2684771,-0.1772402,0.01579007,-0.02297647,0.9837727,0.6115684
RH,0.2612008,1.062673,0.2668844,-0.1758649,0.01535516,-0.02239483,0.9840397,0.6227348
RH,0.2612008,1.062673,0.2668844,-0.1758649,0.01535516,-0.02239483,0.9840397,0.6227348
RH,0.2614554,1.061489,0.2655497,-0.1744238,0.01531338,-0.02171926,0.984312,0.6337968
RH,0.2614554,1.061489,0.2655497,-0.1744238,0.01531338,-0.02171926,0.984312,0.6337968
RH,0.2617522,1.060441,0.2643223,-0.1737793,0.01527587,-0.02260906,0.9844066,0.6448995
RH,0.2617522,1.060441,0.2643223,-0.1737793,0.01527587,-0.02260906,0.9844066,0.6448995
RH,0.2620311,1.059571,0.2629796,-0.1736243,0.01538909,-0.02397027,0.9843999,0.6559669
RH,0.2620311,1.059571,0.2629796,-0.1736243,0.01538909,-0.02397027,0.9843999,0.6559669
RH,0.262441,1.058688,0.2620805,-0.1735916,0.01656112,-0.02629645,0.9843273,0.6671116
RH,0.262441,1.058688,0.2620805,-0.1735916,0.01656112,-0.02629645,0.9843273,0.6671116
RH,0.2630507,1.057755,0.2610945,-0.1729176,0.01711206,-0.02741043,0.9844061,0.678126
RH,0.2630507,1.057755,0.2610945,-0.1729176,0.01711206,-0.02741043,0.9844061,0.678126
RH,0.2633052,1.056721,0.2603794,-0.1719814,0.0173992,-0.02837288,0.9845378,0.6893077
RH,0.2633052,1.056721,0.2603794,-0.1719814,0.0173992,-0.02837288,0.9845378,0.6893077
RH,0.2634008,1.05561,0.259736,-0.1713406,0.01720629,-0.02883134,0.9846396,0.7004349
RH,0.2634008,1.05561,0.259736,-0.1713406,0.01720629,-0.02883134,0.9846396,0.7004349
RH,0.2633933,1.054841,0.2591888,-0.1719069,0.01689737,-0.02803554,0.9845692,0.7115015
RH,0.2633933,1.054841,0.2591888,-0.1719069,0.01689737,-0.02803554,0.9845692,0.7115015
RH,0.2636546,1.054156,0.2587415,-0.1722701,0.01651156,-0.02865612,0.9844944,0.7227632
RH,0.2636546,1.054156,0.2587415,-0.1722701,0.01651156,-0.02865612,0.9844944,0.7227632
RH,0.2632853,1.053583,0.2584272,-0.1730852,0.01611698,-0.02929281,0.9843392,0.734333
RH,0.2632853,1.053583,0.2584272,-0.1730852,0.01611698,-0.02929281,0.9843392,0.734333
RH,0.263379,1.052911,0.2583165,-0.1735741,0.01612715,-0.02976564,0.9842388,0.7452551
RH,0.263379,1.052911,0.2583165,-0.1735741,0.01612715,-0.02976564,0.9842388,0.7452551
RH,0.2630693,1.052406,0.25849,-0.1734895,0.01579479,-0.0310073,0.9842207,0.7616839
RH,0.2630693,1.052406,0.25849,-0.1734895,0.01579479,-0.0310073,0.9842207,0.7616839
RH,0.2629777,1.051724,0.2583372,-0.1735765,0.01489158,-0.03306371,0.9841526,0.7669827
RH,0.2629777,1.051724,0.2583372,-0.1735765,0.01489158,-0.03306371,0.9841526,0.7669827
RH,0.2628887,1.051167,0.2586755,-0.1736523,0.01326472,-0.03589116,0.9840634,0.7780669
RH,0.2628887,1.051167,0.2586755,-0.1736523,0.01326472,-0.03589116,0.9840634,0.7780669
RH,0.2622895,1.050639,0.25928,-0.1740244,0.0116185,-0.03630786,0.9840032,0.7892017
RH,0.2622895,1.050639,0.25928,-0.1740244,0.0116185,-0.03630786,0.9840032,0.7892017
RH,0.2620269,1.050203,0.2594044,-0.1744093,0.01073317,-0.03716134,0.9839132,0.8003035
RH,0.2620269,1.050203,0.2594044,-0.1744093,0.01073317,-0.03716134,0.9839132,0.8003035
RH,0.2613642,1.049819,0.2601699,-0.1753373,0.009866574,-0.03789983,0.9837292,0.8114033
RH,0.2613642,1.049819,0.2601699,-0.1753373,0.009866574,-0.03789983,0.9837292,0.8114033
RH,0.260976,1.049227,0.2608584,-0.1758595,0.008890207,-0.03917982,0.9835951,0.8224885
RH,0.260976,1.049227,0.2608584,-0.1758595,0.008890207,-0.03917982,0.9835951,0.8224885
RH,0.2603521,1.048829,0.2616642,-0.176148,0.007761791,-0.03970063,0.9835322,0.8336022
RH,0.2603521,1.048829,0.2616642,-0.176148,0.007761791,-0.03970063,0.9835322,0.8336022
RH,0.2596599,1.048136,0.2625518,-0.1760862,0.006564614,-0.03894636,0.9835821,0.8447208
RH,0.2596599,1.048136,0.2625518,-0.1760862,0.006564614,-0.03894636,0.9835821,0.8447208
RH,0.2589843,1.047487,0.2635948,-0.1758721,0.004963026,-0.03834854,0.9836533,0.8558298
RH,0.2589843,1.047487,0.2635948,-0.1758721,0.004963026,-0.03834854,0.9836533,0.8558298
RH,0.2580997,1.046774,0.2646661,-0.1756997,0.002875786,-0.03823881,0.9836967,0.8669211
RH,0.2580997,1.046774,0.2646661,-0.1756997,0.002875786,-0.03823881,0.9836967,0.8669211
RH,0.2573215,1.046248,0.2656042,-0.1760539,0.0009376399,-0.03834388,0.983633,0.878095
RH,0.2573215,1.046248,0.2656042,-0.1760539,0.0009376399,-0.03834388,0.983633,0.878095
RH,0.2564307,1.045828,0.2666093,-0.1766594,-0.0009991885,-0.03818616,0.9835305,0.8891417
RH,0.2564307,1.045828,0.2666093,-0.1766594,-0.0009991885,-0.03818616,0.9835305,0.8891417
RH,0.2556487,1.045539,0.2677239,-0.1772502,-0.002985112,-0.03811371,0.9834231,0.9002243
RH,0.2556487,1.045539,0.2677239,-0.1772502,-0.002985112,-0.03811371,0.9834231,0.9002243
RH,0.2549508,1.045324,0.2687311,-0.1771907,-0.004963025,-0.03806539,0.9834276,0.911324
RH,0.2549508,1.045324,0.2687311,-0.1771907,-0.004963025,-0.03806539,0.9834276,0.911324
RH,0.2542838,1.044986,0.2697691,-0.1770453,-0.006709427,-0.03810843,0.9834418,0.9224493
RH,0.2542838,1.044986,0.2697691,-0.1770453,-0.006709427,-0.03810843,0.9834418,0.9224493
RH,0.2538856,1.044971,0.2706476,-0.1773204,-0.007416211,-0.03815024,0.9833855,0.933715
RH,0.2538856,1.044971,0.2706476,-0.1773204,-0.007416211,-0.03815024,0.9833855,0.933715
RH,0.2536136,1.0449,0.2715194,-0.1782502,-0.007884647,-0.03790357,0.9832233,0.9446846
RH,0.2536136,1.0449,0.2715194,-0.1782502,-0.007884647,-0.03790357,0.9832233,0.9446846
RH,0.2534631,1.045085,0.2721888,-0.1796603,-0.007663255,-0.03782348,0.9829714,0.9557891
RH,0.2534631,1.045085,0.2721888,-0.1796603,-0.007663255,-0.03782348,0.9829714,0.9557891
RH,0.2532064,1.045093,0.2729372,-0.1800162,-0.00798045,-0.03797662,0.9828979,0.9668676
RH,0.2532064,1.045093,0.2729372,-0.1800162,-0.00798045,-0.03797662,0.9828979,0.9668676
RH,0.2529896,1.045057,0.273586,-0.1798051,-0.007780965,-0.03846842,0.982919,0.9780015
RH,0.2529896,1.045057,0.273586,-0.1798051,-0.007780965,-0.03846842,0.982919,0.9780015
RH,0.2528766,1.044999,0.2742524,-0.179211,-0.007562451,-0.03950064,0.9829883,0.9890931
RH,0.2528766,1.044999,0.2742524,-0.179211,-0.007562451,-0.03950064,0.9829883,0.9890931
RH,0.2527052,1.044976,0.2747871,-0.1790364,-0.007511045,-0.04007887,0.9829971,1.000166
RH,0.2527052,1.044976,0.2747871,-0.1790364,-0.007511045,-0.04007887,0.9829971,1.000166
RH,0.2526352,1.044893,0.2750539,-0.1785614,-0.007177277,-0.04027932,0.9830778,1.011363
RH,0.2526352,1.044893,0.2750539,-0.1785614,-0.007177277,-0.04027932,0.9830778,1.011363
RH,0.2524635,1.044917,0.2752261,-0.1779521,-0.006974051,-0.04031648,0.9831882,1.022369
RH,0.2524635,1.044917,0.2752261,-0.1779521,-0.006974051,-0.04031648,0.9831882,1.022369
RH,0.2522326,1.044962,0.2753002,-0.1775252,-0.006820661,-0.04061366,0.9832542,1.033703
RH,0.2522326,1.044962,0.2753002,-0.1775252,-0.006820661,-0.04061366,0.9832542,1.033703
RH,0.2519561,1.045104,0.2752066,-0.1770219,-0.006644708,-0.04071169,0.9833421,1.044606
RH,0.2519561,1.045104,0.2752066,-0.1770219,-0.006644708,-0.04071169,0.9833421,1.044606
RH,0.2517184,1.045376,0.274819,-0.1768266,-0.005961482,-0.04075997,0.9833796,1.055712
RH,0.2517184,1.045376,0.274819,-0.1768266,-0.005961482,-0.04075997,0.9833796,1.055712
RH,0.2516038,1.045494,0.2745441,-0.1765826,-0.004922325,-0.04088572,0.9834239,1.067174
RH,0.2516038,1.045494,0.2745441,-0.1765826,-0.004922325,-0.04088572,0.9834239,1.067174
RH,0.2515386,1.045732,0.2739178,-0.1765962,-0.003590196,-0.04101762,0.9834218,1.079243
RH,0.2515386,1.045732,0.2739178,-0.1765962,-0.003590196,-0.04101762,0.9834218,1.079243
RH,0.2515823,1.046153,0.2732108,-0.1771134,-0.002280462,-0.04104377,0.9833316,1.09074
RH,0.2515823,1.046153,0.2732108,-0.1771134,-0.002280462,-0.04104377,0.9833316,1.09074
RH,0.2514534,1.046479,0.2724835,-0.1781225,-0.001524658,-0.04098364,0.9831533,1.101861
RH,0.2514534,1.046479,0.2724835,-0.1781225,-0.001524658,-0.04098364,0.9831533,1.101861
RH,0.2512094,1.046941,0.2714201,-0.1801966,-0.001028583,-0.04002697,0.9828153,1.112986
RH,0.2512094,1.046941,0.2714201,-0.1801966,-0.001028583,-0.04002697,0.9828153,1.112986
RH,0.2508842,1.047343,0.270125,-0.1830529,-0.0008004686,-0.03675046,0.9824156,1.124279
RH,0.2508842,1.047343,0.270125,-0.1830529,-0.0008004686,-0.03675046,0.9824156,1.124279
RH,0.2506392,1.047572,0.2689894,-0.1850003,0,-0.03375702,0.9821585,1.135588
RH,0.2506392,1.047572,0.2689894,-0.1850003,0,-0.03375702,0.9821585,1.135588
RH,0.2504063,1.047566,0.2678106,-0.1862829,0.0006103516,-0.03132692,0.9819964,1.146906
RH,0.2504063,1.047566,0.2678106,-0.1862829,0.0006103516,-0.03132692,0.9819964,1.146906
RH,0.2501868,1.047536,0.26665,-0.1874876,0.001480024,-0.02918502,0.9818322,1.15819
RH,0.2501868,1.047536,0.26665,-0.1874876,0.001480024,-0.02918502,0.9818322,1.15819
RH,0.2499419,1.047144,0.265507,-0.1875143,0.002035319,-0.02737207,0.9818783,1.16946
RH,0.2499419,1.047144,0.265507,-0.1875143,0.002035319,-0.02737207,0.9818783,1.16946
RH,0.2495917,1.046565,0.2643483,-0.1875068,0.002217517,-0.02560743,0.981927,1.180753
RH,0.2495917,1.046565,0.2643483,-0.1875068,0.002217517,-0.02560743,0.981927,1.180753
RH,0.2492408,1.045788,0.2632126,-0.1870939,0.002444456,-0.02416468,0.9820417,1.192123
RH,0.2492408,1.045788,0.2632126,-0.1870939,0.002444456,-0.02416468,0.9820417,1.192123
RH,0.2489039,1.04511,0.2620679,-0.1867516,0.002646422,-0.02345466,0.9821236,1.203386
RH,0.2489039,1.04511,0.2620679,-0.1867516,0.002646422,-0.02345466,0.9821236,1.203386
